Ranking;Athlete;1500 m;100 m;400 m;110 m hurdles;Long jump;Shot put;High jump;Discus throw;Pole vault;Javelin throw;total points
1;Warner;737;1066;934;1045;1123;777;822;843;880;790;9017
2;Mayer;660;933;800;987;935;794;878;830;972;937;8726
3;Moloney;685;1013;994;964;970;758;906;754;910;695;8649
4;Scantling;709;935;897;971;886;826;794;776;941;876;8611
5;Lepage;733;992;962;925;972;809;794;811;910;696;8604
6;Ziemek;690;963;858;910;862;789;850;764;1004;744;8434
7;Victor;593;935;851;870;871;814;822;865;880;913;8414
8;Shkurenyov;715;876;862;920;957;787;794;809;941;752;8413
9;Urena;759;938;909;958;886;727;850;740;880;675;8322
10;Bastien;765;931;927;921;908;753;850;679;790;711;8235
11;Erm;755;852;897;905;900;765;794;782;849;714;8213
12;Wiesiolek;745;899;898;856;878;784;822;834;849;612;8177
13;Zhuk;664;852;851;856;797;865;767;808;941;730;8131
14;Kazmirek;629;841;901;882;930;757;822;720;849;795;8126
15;Uibo;689;791;777;870;903;725;822;795;1067;598;8037
16;Helcelet;651;847;842;930;852;789;767;775;790;761;8004
17;Sykora;589;821;866;913;821;767;714;868;790;794;7943
18;Dos Santos;604;956;847;901;905;736;822;663;790;656;7880
19;Roe;633;892;772;794;821;727;767;836;849;772;7863